subj_idx,go,s,c,r,rt
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,1,NaN
2,0,2,0,0,NaN
2,0,2,0,1,NaN
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,1,0,1.3513
3,1,1,1,1,0.96294
3,1,1,0,1,NaN
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,1,1,1.8065
3,1,1,0,0,NaN
3,1,1,1,1,1.3111
3,1,1,1,1,1.793
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,1,0,1.0834
3,1,1,1,1,1.1904
3,1,1,0,0,NaN
3,1,1,1,0,1.07
3,1,1,1,1,1.2443
3,1,1,0,0,NaN
3,1,1,1,1,1.2307
3,1,1,0,0,NaN
3,1,1,1,0,0.896
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,1,0,0.89597
3,1,1,0,0,NaN
3,1,1,1,1,0.97638
3,1,1,0,0,NaN
3,1,1,1,1,1.1638
3,1,1,0,1,NaN
3,1,1,0,0,NaN
3,1,1,1,1,0.69521
3,1,1,1,0,1.3914
3,1,1,0,0,NaN
3,1,1,1,1,0.65507
3,1,1,1,1,0.9764
3,1,1,1,1,1.1771
3,1,1,1,1,0.90925
3,1,1,1,1,1.0031
3,1,1,0,0,NaN
3,1,1,0,1,NaN
3,1,1,0,0,NaN
3,1,1,1,0,1.2574
3,1,1,0,0,NaN
3,1,1,1,1,0.61491
3,1,1,1,1,1.0567
3,1,1,0,0,NaN
3,1,1,0,0,NaN
3,1,1,1,1,1.0968
3,1,1,0,0,NaN
3,1,1,1,1,1.1239
3,1,1,0,0,NaN
3,1,1,1,1,0.96295
3,1,1,1,0,1.3377
3,1,1,1,1,1.4583
3,1,1,0,0,NaN
3,1,1,1,1,0.97633
3,1,1,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,1,0,0.10597
3,0,2,1,0,1.2709
3,0,2,1,0,1.0968
3,0,2,1,0,0.89601
3,0,2,1,1,1.1236
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,1,0,0.77557
3,0,2,1,0,0.90934
3,0,2,1,0,0.86907
3,0,2,1,1,1.4181
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,1,NaN
3,0,2,0,0,NaN
3,0,2,0,1,NaN
